   JOINT #   DIRECTION    Pound-mass(inch)
   -------   ---------     = LBf/386.08858

      9040       Y             0.419002
      3919       X             0.238017
      3919       Y             0.238017
      3919       Z             0.238017
      3932       X             0.193690
      3932       Y             0.193690
      3932       Z             0.193690
      3933       X             0.196417
      3933       Y             0.196417
      3933       Z             0.196417
      9039       Y             0.593563
      3712       X             0.476822
      3712       Y             0.476822
      3712       Z             0.476822
      8937       Y             0.837630
      3498       X             0.492036
      3498       Y             0.492036
      3498       Z             0.492036
      8829       Y             0.574152
      9812       X             0.365733
      9812       Y             0.365733
      9812       Z             0.365733
      3496       X             0.246691
      3496       Y             0.246691
      3496       Z             0.246691
      8828       Y             0.412094
      3494       X             0.245522
      3494       Y             0.245522
      3494       Z             0.245522
      3385       X             0.696385
      3385       Y             0.696385
      3385       Z             0.696385
      8896       Y             0.724347
      3492       X             0.245522
      3492       Y             0.245522
      3492       Z             0.245522
      4750       X             0.492036
      4750       Y             0.492036
      4750       Z             0.492036
      4769       X             0.393629
      4769       Y             0.393629
      4769       Z             0.393629
      9049       Y             0.349295
      3490       X             0.245522
      3490       Y             0.245522
      3490       Z             0.245522
      4768       X             0.393629
      4768       Y             0.393629
      4768       Z             0.393629
      9048       Y             0.371579
      3237       X             0.541037
      3237       Y             0.541037
      3237       Z             0.541037
      3236       X             0.278468
      3236       Y             0.278468
      3236       Z             0.278468
      3238       X             0.278468
      3238       Y             0.278468
      3238       Z             0.278468
      3502       X             0.242794
      3502       Y             0.242794
      3502       Z             0.242794
      3235       X             0.278468
      3235       Y             0.278468
      3235       Z             0.278468
      3239       X             0.278468
      3239       Y             0.278468
      3239       Z             0.278468
      3503       X             0.360778
      3503       Y             0.360778
      3503       Z             0.360778
      3234       X             0.278468
      3234       Y             0.278468
      3234       Z             0.278468
      3240       X             0.419640
      3240       Y             0.419640
      3240       Z             0.419640
      4631       X             0.196417
      4631       Y             0.196417
      4631       Z             0.196417
      3241       X             0.278468
      3241       Y             0.278468
      3241       Z             0.278468
      3242       X             0.278468
      3242       Y             0.278468
      3242       Z             0.278468
      3243       X             0.403166
      3243       Y             0.403166
      3243       Z             0.403166
      3488       X             0.245522
      3488       Y             0.245522
      3488       Z             0.245522
      3303       X             0.872605
      3303       Y             0.872605
      3303       Z             0.872605
      8807       Y             0.833206
      3289       X             0.543613
      3289       Y             0.543613
      3289       Z             0.543613
      8806       Y             0.825113
      3275       X             0.541037
      3275       Y             0.541037
      3275       Z             0.541037
      8885       Y             0.677848
      3261       X             0.541037
      3261       Y             0.541037
      3261       Z             0.541037
      8936       Y             0.638902
      3708       X             0.476822
      3708       Y             0.476822
      3708       Z             0.476822
      3247       X             0.541037
      3247       Y             0.541037
      3247       Z             0.541037
      3704       X             0.476822
      3704       Y             0.476822
      3704       Z             0.476822
      8935       Y             1.154359
      3233       X             0.541037
      3233       Y             0.541037
      3233       Z             0.541037
      3700       X             0.476822
      3700       Y             0.476822
      3700       Z             0.476822
      3719       X             0.558062
      3719       Y             0.558062
      3719       Z             0.558062
      4640       X             0.393630
      4640       Y             0.393630
      4640       Z             0.393630
      8956       Y             0.590948
      3715       X             0.279794
      3715       Y             0.279794
      3715       Z             0.279794
      4638       X             0.197353
      4638       Y             0.197353
      4638       Z             0.197353
      8955       Y             0.378151
      9011       Y             0.428392
      3711       X             0.278468
      3711       Y             0.278468
      3711       Z             0.278468
      4636       X             0.196418
      4636       Y             0.196418
      4636       Z             0.196418
      3718       X             0.614413
      3718       Y             0.614413
      3718       Z             0.614413
      8954       Y             0.453981
      9017       Y             0.465484
      3717       X             0.558062
      3717       Y             0.558062
      3717       Z             0.558062
      8953       Y             0.378084
      9016       Y             0.638553
      3944       X             0.438762
      3944       Y             0.438762
      3944       Z             0.438762
      9026       Y             0.450550
      3943       X             0.241891
      3943       Y             0.241891
      3943       Z             0.241891
      9038       Y             0.450493
      3942       X             0.240744
      3942       Y             0.240744
      3942       Z             0.240744
      9037       Y             0.628977
