   JOINT #   DIRECTION    Pound-mass(inch)
   -------   ---------     = LBf/386.08858

      3762       Y             0.278468
      3762       Z             0.278468
      3753       X             0.558062
      3753       Y             0.558062
      3753       Z             0.558062
      9791       X             0.295875
      9791       Y             0.295875
      9791       Z             0.295875
      8948       Y             0.344055
      3761       X             0.700391
      3761       Y             0.700391
      3761       Z             0.700391
      3749       X             0.281740
      3749       Y             0.281740
      3749       Z             0.281740
      3748       X             0.279794
      3748       Y             0.279794
      3748       Z             0.279794
      3854       X             0.445631
      3854       Y             0.445631
      3854       Z             0.445631
      8967       Y             0.414551
      4619       X             0.451728
      4619       Y             0.451728
      4619       Z             0.451728
      3806       X             0.278468
      3806       Y             0.278468
      3806       Z             0.278468
      3853       X             0.486569
      3853       Y             0.486569
      3853       Z             0.486569
      8964       Y             0.491664
      4642       X             0.503731
      4642       Y             0.503731
      4642       Z             0.503731
       484       X             0.845080
       484       Y             0.845080
       484       Z             0.845080
       486       X             0.614200
       486       Y             0.614200
       486       Z             0.614200
      4616       X             0.408585
      4616       Y             0.408585
      4616       Z             0.408585
      3574       X             0.262569
      3574       Y             0.262569
      3574       Z             0.262569
      3802       X             0.278468
      3802       Y             0.278468
      3802       Z             0.278468
      4676       X             0.365442
      4676       Y             0.365442
      4676       Z             0.365442
      4673       X             0.365443
      4673       Y             0.365443
      4673       Z             0.365443
      3857       X             0.694482
      3857       Y             0.694482
      3857       Z             0.694482
       483       X             0.614200
       483       Y             0.614200
       483       Z             0.614200
       487       X             0.614200
       487       Y             0.614200
       487       Z             0.614200
      3840       X             0.757589
      3840       Y             0.757589
      3840       Z             0.757589
      8963       Y             0.839947
      4663       X             0.365442
      4663       Y             0.365442
      4663       Z             0.365442
      3798       X             0.278468
      3798       Y             0.278468
      3798       Z             0.278468
      3599       X             0.741962
      3599       Y             0.741962
      3599       Z             0.741962
      3855       X             0.734670
      3855       Y             0.734670
      3855       Z             0.734670
       482       X             0.614200
       482       Y             0.614200
       482       Z             0.614200
       488       X             0.732558
       488       Y             0.732558
       488       Z             0.732558
      3655       X             0.558062
      3655       Y             0.558062
      3655       Z             0.558062
      3687       X             0.558062
      3687       Y             0.558062
      3687       Z             0.558062
      3650       X             0.279794
      3650       Y             0.279794
      3650       Z             0.279794
      3681       X             0.279794
      3681       Y             0.279794
      3681       Z             0.279794
      8992       Y             0.210063
      8994       Y             0.187427
      8996       Y             0.210063
      3645       X             0.278468
      3645       Y             0.278468
      3645       Z             0.278468
      3675       X             0.278468
      3675       Y             0.278468
      3675       Z             0.278468
      3654       X             0.614413
      3654       Y             0.614413
      3654       Z             0.614413
      8990       Y             0.249857
      3688       X             0.558062
      3688       Y             0.558062
      3688       Z             0.558062
      8998       Y             0.210063
      3640       X             0.278468
      3640       Y             0.278468
      3640       Z             0.278468
      3669       X             0.278468
      3669       Y             0.278468
      3669       Z             0.278468
      3652       X             0.629320
      3652       Y             0.629320
      3652       Z             0.629320
      8986       Y             0.210181
      9000       Y             0.187348
      3635       X             0.289242
      3635       Y             0.289242
      3635       Z             0.289242
      3663       X             0.289242
      3663       Y             0.289242
      3663       Z             0.289242
      8981       Y             0.192985
      9807       X             0.464827
      9807       Y             0.464827
      9807       Z             0.464827
      9022       Y             0.232542
      3630       X             0.193105
      3630       Y             0.193105
      3630       Z             0.193105
      3657       X             0.221835
      3657       Y             0.221835
      3657       Z             0.221835
      9795       X             0.465071
      9795       Y             0.465071
      9795       Z             0.465071
      8978       Y             0.232582
      3682       X             0.279794
      3682       Y             0.279794
      3682       Z             0.279794
      9808       X             0.465300
      9808       Y             0.465300
      9808       Z             0.465300
      9029       Y             0.232778
      7319       X             0.248003
      7319       Y             0.275717
      7319       Z             0.278111
      5977       X             0.096138
      5977       Y             0.096138
      5977       Z             0.096138
      5903       X             0.248870
      5903       Y             0.221156
      5903       Z             0.218762
      3647       X             0.351053
      3647       Y             0.351053
      3647       Z             0.351053
      9794       X             0.419714
      9794       Y             0.419714
      9794       Z             0.419714
      8974       Y             0.209985
      3907       X             0.262569
      3907       Y             0.262569
      3907       Z             0.262569
      3900       X             0.401805
      3900       Y             0.401805
      3900       Z             0.401805
      3676       X             0.278468
      3676       Y             0.278468
      3676       Z             0.278468
      9032       Y             0.167440
      3642       X             0.278468
      3642       Y             0.278468
      3642       Z             0.278468
      8973       Y             0.187426
      3994       X             0.492036
      3994       Y             0.492036
      3994       Z             0.492036
      9043       Y             0.185210
      3991       X             0.246691
      3991       Y             0.246691
      3991       Z             0.246691
      3995       X             0.492037
      3995       Y             0.492037
      3995       Z             0.492037
      9050       Y             0.192927
      3974       X             0.385330
      3974       Y             0.385330
      3974       Z             0.385330
      3973       X             0.121397
      3973       Y             0.121397
      3973       Z             0.121397
      3988       X             0.245522
      3988       Y             0.245522
      3988       Z             0.245522
      9052       Y             0.174921
      9064       Y             0.082316
      4704       X             0.378445
      4704       Y             0.378445
      4704       Z             0.378445
      4703       X             0.364772
      4703       Y             0.364772
      4703       Z             0.364772
      4702       X             0.365442
      4702       Y             0.365442
      4702       Z             0.365442
      4701       X             0.366114
      4701       Y             0.366114
      4701       Z             0.366114
      4698       X             0.408921
      4698       Y             0.408921
      4698       Z             0.408921
      3992       X             0.246691
      3992       Y             0.246691
      3992       Z             0.246691
      4675       X             0.365442
      4675       Y             0.365442
      4675       Z             0.365442
       471       X             0.552768
       471       Y             0.552768
       471       Z             0.552768
       472       X             0.278468
       472       Y             0.278468
       472       Z             0.278468
       473       X             0.278468
       473       Y             0.278468
       473       Z             0.278468
      3862       X             0.262569
      3862       Y             0.262569
      3862       Z             0.262569
      3861       X             0.242794
      3861       Y             0.242794
      3861       Z             0.242794
      3638       X             0.401804
      3638       Y             0.401804
      3638       Z             0.401804
      3637       X             0.278468
      3637       Y             0.278468
      3637       Z             0.278468
      3839       X             0.558062
      3839       Y             0.558062
      3839       Z             0.558062
      8972       Y             0.210063
      3367       X             0.552770
      3367       Y             0.552770
      3367       Z             0.552770
      8839       Y             0.645023
      3357       X             0.277141
      3357       Y             0.277141
      3357       Z             0.277141
      8838       Y             0.462960
      3347       X             0.275828
      3347       Y             0.275828
      3347       Z             0.275828
      8901       Y             0.231480
      3337       X             0.275828
      3337       Y             0.275828
      3337       Z             0.275828
      3327       X             0.275828
      3327       Y             0.275828
      3327       Z             0.275828
      3317       X             0.275828
      3317       Y             0.275828
      3317       Z             0.275828
      4782       X             0.196418
      4782       Y             0.196418
      4782       Z             0.196418
      1543       X             0.470028
      1543       Y             0.470028
      1543       Z             0.470028
      4779       X             0.196418
      4779       Y             0.196418
      4779       Z             0.196418
      4042       X             0.219606
      4042       Y             0.219606
      4042       Z             0.219606
      1535       X             0.275828
      1535       Y             0.275828
      1535       Z             0.275828
      4741       X             0.245522
      4741       Y             0.245522
      4741       Z             0.245522
      4758       X             0.196417
      4758       Y             0.196417
      4758       Z             0.196417
      3999       X             0.362142
      3999       Y             0.362142
      3999       Z             0.362142
      4752       X             0.239381
      4752       Y             0.239381
      4752       Z             0.239381
      4775       X             0.196417
      4775       Y             0.196417
      4775       Z             0.196417
      4773       X             0.196417
      4773       Y             0.196417
      4773       Z             0.196417
      4776       X             0.196418
      4776       Y             0.196418
      4776       Z             0.196418
      4035       X             0.242794
      4035       Y             0.242794
      4035       Z             0.242794
      1527       X             0.275828
      1527       Y             0.275828
      1527       Z             0.275828
      4771       X             0.196418
      4771       Y             0.196418
      4771       Z             0.196418
      3990       X             0.385330
      3990       Y             0.385330
      3990       Z             0.385330
      1519       X             0.275828
      1519       Y             0.275828
      1519       Z             0.275828
      3989       X             0.245522
      3989       Y             0.245522
      3989       Z             0.245522
       528       X             0.419640
       528       Y             0.419640
       528       Z             0.419640
       527       X             0.278468
       527       Y             0.278468
       527       Z             0.278468
       529       X             0.278468
       529       Y             0.278468
       529       Z             0.278468
       526       X             0.278468
       526       Y             0.278468
       526       Z             0.278468
       530       X             0.278468
       530       Y             0.278468
       530       Z             0.278468
       525       X             0.278468
       525       Y             0.278468
       525       Z             0.278468
       531       X             0.419640
       531       Y             0.419640
       531       Z             0.419640
       524       X             0.419640
       524       Y             0.419640
       524       Z             0.419640
       532       X             0.278468
       532       Y             0.278468
       532       Z             0.278468
       523       X             0.278467
       523       Y             0.278467
       523       Z             0.278467
       533       X             0.278468
       533       Y             0.278468
       533       Z             0.278468
       521       X             0.278468
       521       Y             0.278468
       521       Z             0.278468
       534       X             0.524562
       534       Y             0.524562
       534       Z             0.524562
       522       X             0.419639
       522       Y             0.419639
       522       Z             0.419639
      2104       X             0.242794
      2104       Y             0.242794
      2104       Z             0.242794
      3115       X             0.245522
      3115       Y             0.245522
      3115       Z             0.245522
      4697       X             0.451728
      4697       Y             0.451728
      4697       Z             0.451728
      3727       X             0.700736
      3727       Y             0.700736
      3727       Z             0.700736
      3794       X             0.278468
      3794       Y             0.278468
      3794       Z             0.278468
      2098       X             0.385330
      2098       Y             0.385330
      2098       Z             0.385330
      3116       X             0.245522
      3116       Y             0.245522
      3116       Z             0.245522
       481       X             0.732557
       481       Y             0.732557
       481       Z             0.732557
      3904       X             0.262569
      3904       Y             0.262569
      3904       Z             0.262569
       489       X             0.561158
       489       Y             0.561158
       489       Z             0.561158
      3897       X             0.613061
      3897       Y             0.585346
      3897       Z             0.582953
      3101       X             0.245522
      3101       Y             0.245522
      3101       Z             0.245522
      1482       X             0.401851
      1482       Y             0.401851
      1482       Z             0.401851
      1509       X             0.275833
      1509       Y             0.275833
      1509       Z             0.275833
      3102       X             0.245522
      3102       Y             0.245522
      3102       Z             0.245522
      3104       X             0.245522
      3104       Y             0.245522
      3104       Z             0.245522
      3106       X             0.245522
      3106       Y             0.245522
      3106       Z             0.245522
      3108       X             0.245522
      3108       Y             0.245522
      3108       Z             0.245522
      3110       X             0.579488
      3110       Y             0.579488
      3110       Z             0.579488
      4798       X             0.322206
      4798       Y             0.322206
      4798       Z             0.322206
      4710       X             0.580322
      4710       Y             0.580322
      4710       Z             0.580322
      4706       X             0.365443
      4706       Y             0.365443
      4706       Z             0.365443
      4793       X             0.322206
      4793       Y             0.322206
      4793       Z             0.322206
      4797       X             0.322206
      4797       Y             0.322206
      4797       Z             0.322206
      1510       X             0.275833
      1510       Y             0.275833
      1510       Z             0.275833
      1511       X             0.275828
      1511       Y             0.275828
      1511       Z             0.275828
      3582       X             0.263819
      3582       Y             0.263819
      3582       Z             0.263819
      3781       X             0.558062
      3781       Y             0.558062
      3781       Z             0.558062
      8797       Y             0.651198
      3777       X             0.279794
      3777       Y             0.279794
      3777       Z             0.279794
      8796       Y             0.473688
      3580       X             0.262569
      3580       Y             0.262569
      3580       Z             0.262569
      3773       X             0.278468
      3773       Y             0.278468
      3773       Z             0.278468
      8880       Y             0.438745
      3578       X             0.262569
      3578       Y             0.262569
      3578       Z             0.262569
      3769       X             0.278468
      3769       Y             0.278468
      3769       Z             0.278468
      8926       Y             0.413202
      3576       X             0.262569
      3576       Y             0.262569
      3576       Z             0.262569
      3765       X             0.278468
      3765       Y             0.278468
      3765       Z             0.278468
      8925       Y             0.848948
      3760       X             0.278468
      3760       Y             0.278468
      3760       Z             0.278468
      3752       X             0.558062
      3752       Y             0.558062
      3752       Z             0.558062
      8947       Y             0.740937
      3759       X             0.700391
      3759       Y             0.700391
      3759       Z             0.700391
      3747       X             0.279794
      3747       Y             0.279794
      3747       Z             0.279794
      4618       X             0.451726
      4618       Y             0.451726
      4618       Z             0.451726
      3805       X             0.278468
      3805       Y             0.278468
      3805       Z             0.278468
      3744       X             0.280405
      3744       Y             0.280405
      3744       Z             0.280405
      3743       X             0.278468
      3743       Y             0.278468
      3743       Z             0.278468
      3742       X             0.278468
      3742       Y             0.278468
      3742       Z             0.278468
      3852       X             0.263819
      3852       Y             0.263819
      3852       Z             0.263819
      3851       X             0.243950
      3851       Y             0.243950
      3851       Z             0.243950
      8962       Y             0.672767
      4615       X             0.408583
      4615       Y             0.408583
      4615       Z             0.408583
      3801       X             0.278468
      3801       Y             0.278468
      3801       Z             0.278468
      3835       X             0.403715
      3835       Y             0.403715
      3835       Z             0.403715
      8961       Y             0.843289
      4623       X             0.408584
      4623       Y             0.408584
      4623       Z             0.408584
       987       X             0.320588
       987       Y             0.320588
       987       Z             0.320588
       470       X             0.278468
       470       Y             0.278468
       470       Z             0.278468
       983       X             0.266255
       983       Y             0.266255
       983       Z             0.266255
      5902       X             0.263236
      5902       Y             0.235521
      5902       Z             0.233128
       474       X             0.278468
       474       Y             0.278468
       474       Z             0.278468
      5900       X             0.220139
      5900       Y             0.192425
      5900       Z             0.190031
      4661       X             0.365441
      4661       Y             0.365441
      4661       Z             0.365441
      3797       X             0.278468
      3797       Y             0.278468
      3797       Z             0.278468
      4672       X             0.365443
      4672       Y             0.365443
      4672       Z             0.365443
      4664       X             0.503733
      4664       Y             0.503733
      4664       Z             0.503733
      3858       X             0.262569
      3858       Y             0.262569
      3858       Z             0.262569
      4622       X             0.451726
      4622       Y             0.451726
      4622       Z             0.451726
      3856       X             0.242794
      3856       Y             0.242794
      3856       Z             0.242794
       469       X             0.278468
       469       Y             0.278468
       469       Z             0.278468
      5904       X             0.248870
      5904       Y             0.221156
      5904       Z             0.218762
       475       X             0.278468
       475       Y             0.278468
       475       Z             0.278468
      3834       X             0.279794
      3834       Y             0.279794
      3834       Z             0.279794
      3838       X             0.558062
      3838       Y             0.558062
      3838       Z             0.558062
      8971       Y             0.210063
      3725       X             0.700736
      3725       Y             0.700736
      3725       Z             0.700736
      3793       X             0.278468
      3793       Y             0.278468
      3793       Z             0.278468
      3729       X             0.280405
      3729       Y             0.280405
      3729       Z             0.280405
      4662       X             0.365443
      4662       Y             0.365443
      4662       Z             0.365443
      3728       X             0.278468
      3728       Y             0.278468
      3728       Z             0.278468
       480       X             0.561155
       480       Y             0.561155
       480       Z             0.561155
      3628       X             0.641792
      3628       Y             0.614077
      3628       Z             0.611684
       468       X             0.278468
       468       Y             0.278468
       468       Z             0.278468
       476       X             0.278468
       476       Y             0.278468
       476       Z             0.278468
      3649       X             0.283581
      3649       Y             0.283581
      3649       Z             0.283581
      3644       X             0.278468
      3644       Y             0.278468
      3644       Z             0.278468
      3639       X             0.278468
      3639       Y             0.278468
      3639       Z             0.278468
      3670       X             0.278468
      3670       Y             0.278468
      3670       Z             0.278468
      3634       X             0.278468
      3634       Y             0.278468
      3634       Z             0.278468
      3664       X             0.289243
      3664       Y             0.289243
      3664       Z             0.289243
      3629       X             0.225427
      3629       Y             0.225427
      3629       Z             0.225427
      3658       X             0.193104
      3658       Y             0.193104
      3658       Z             0.193104
      7318       X             0.248003
      7318       Y             0.248003
      7318       Z             0.248003
      7323       X             0.248003
      7323       Y             0.275717
      7323       Z             0.278111
      3906       X             0.262569
      3906       Y             0.262569
      3906       Z             0.262569
      3899       X             0.401805
      3899       Y             0.401805
      3899       Z             0.401805
      3972       X             0.385330
      3972       Y             0.385330
      3972       Z             0.385330
      3971       X             0.121397
      3971       Y             0.121397
      3971       Z             0.121397
      3985       X             0.245522
      3985       Y             0.245522
      3985       Z             0.245522
      3986       X             0.245522
      3986       Y             0.245522
      3986       Z             0.245522
      4705       X             0.365443
      4705       Y             0.365443
      4705       Z             0.365443
      4700       X             0.408586
      4700       Y             0.408586
      4700       Z             0.408586
      4699       X             0.451728
      4699       Y             0.451728
      4699       Z             0.451728
      4621       X             0.408585
      4621       Y             0.408585
      4621       Z             0.408585
       457       X             0.552768
       457       Y             0.552768
       457       Z             0.552768
       456       X             0.278468
       456       Y             0.278468
       456       Z             0.278468
       458       X             0.278468
       458       Y             0.278468
       458       Z             0.278468
       979       X             0.266255
       979       Y             0.266255
       979       Z             0.266255
       459       X             0.278468
       459       Y             0.278468
       459       Z             0.278468
       460       X             0.278468
       460       Y             0.278468
       460       Z             0.278468
      3860       X             0.262569
      3860       Y             0.262569
      3860       Z             0.262569
      3859       X             0.252188
      3859       Y             0.252188
      3859       Z             0.252188
      3633       X             0.506005
      3633       Y             0.506005
      3633       Z             0.506005
      3632       X             0.289243
      3632       Y             0.289243
      3632       Z             0.289243
      3833       X             0.279794
      3833       Y             0.279794
      3833       Z             0.279794
      3368       X             0.624050
      3368       Y             0.624050
      3368       Z             0.624050
      8841       Y             0.645048
      3358       X             0.418996
      3358       Y             0.418996
      3358       Z             0.418996
      8840       Y             0.462978
      3348       X             0.417010
      3348       Y             0.417010
      3348       Z             0.417010
      8902       Y             0.231489
      3338       X             0.417010
      3338       Y             0.417010
      3338       Z             0.417010
      3328       X             0.417010
      3328       Y             0.417010
      3328       Z             0.417010
      3318       X             0.417010
      3318       Y             0.417010
      3318       Z             0.417010
      1544       X             0.611218
      1544       Y             0.611218
      1544       Z             0.611218
      4041       X             0.219606
      4041       Y             0.219606
      4041       Z             0.219606
      1536       X             0.417010
      1536       Y             0.417010
      1536       Z             0.417010
      4040       X             0.219606
      4040       Y             0.219606
      4040       Z             0.219606
      4034       X             0.242794
      4034       Y             0.242794
      4034       Z             0.242794
      1528       X             0.417010
      1528       Y             0.417010
      1528       Z             0.417010
      2170       X             0.715228
      2170       Y             0.715228
      2170       Z             0.715228
      4709       X             0.601804
      4709       Y             0.601804
      4709       Z             0.601804
      4774       X             0.397602
      4774       Y             0.397602
      4774       Z             0.397602
      4772       X             0.397602
      4772       Y             0.397602
      4772       Z             0.397602
      4770       X             0.397603
      4770       Y             0.397603
      4770       Z             0.397603
      4039       X             0.219606
      4039       Y             0.219606
      4039       Z             0.219606
      3987       X             0.385330
      3987       Y             0.385330
      3987       Z             0.385330
      1520       X             0.417010
      1520       Y             0.417010
      1520       Z             0.417010
      4038       X             0.444542
      4038       Y             0.444542
      4038       Z             0.444542
      1512       X             0.417010
      1512       Y             0.417010
      1512       Z             0.417010
       509       X             0.419640
       509       Y             0.419640
       509       Z             0.419640
       507       X             0.278468
       507       Y             0.278468
       507       Z             0.278468
       511       X             0.278468
       511       Y             0.278468
       511       Z             0.278468
       505       X             0.278468
       505       Y             0.278468
       505       Z             0.278468
       513       X             0.278468
       513       Y             0.278468
       513       Z             0.278468
       503       X             0.278468
       503       Y             0.278468
       503       Z             0.278468
       515       X             0.419640
       515       Y             0.419640
       515       Z             0.419640
       501       X             0.419640
       501       Y             0.419640
       501       Z             0.419640
       517       X             0.278468
       517       Y             0.278468
       517       Z             0.278468
       499       X             0.278467
       499       Y             0.278467
       499       Z             0.278467
       519       X             0.278468
       519       Y             0.278468
       519       Z             0.278468
       496       X             0.278468
       496       Y             0.278468
       496       Z             0.278468
       520       X             0.524562
       520       Y             0.524562
       520       Z             0.524562
       497       X             0.419639
       497       Y             0.419639
       497       Z             0.419639
      2103       X             0.242794
      2103       Y             0.242794
      2103       Z             0.242794
      3112       X             0.245522
      3112       Y             0.245522
      3112       Z             0.245522
      3790       X             0.278468
      3790       Y             0.278468
      3790       Z             0.278468
      2097       X             0.385330
      2097       Y             0.385330
      2097       Z             0.385330
      3114       X             0.245522
      3114       Y             0.245522
      3114       Z             0.245522
       490       X             0.561158
       490       Y             0.561158
       490       Z             0.561158
      4660       X             0.365442
      4660       Y             0.365442
      4660       Z             0.365442
      3726       X             0.278468
      3726       Y             0.278468
      3726       Z             0.278468
      3788       X             0.278468
      3788       Y             0.278468
      3788       Z             0.278468
      3098       X             0.245522
      3098       Y             0.245522
      3098       Z             0.245522
      1481       X             0.401851
      1481       Y             0.401851
      1481       Z             0.401851
       467       X             0.278467
       467       Y             0.278467
       467       Z             0.278467
      3905       X             0.271963
      3905       Y             0.271963
      3905       Z             0.271963
      3898       X             0.506005
      3898       Y             0.506005
      3898       Z             0.506005
       477       X             0.278468
       477       Y             0.278468
       477       Z             0.278468
      5896       X             0.320061
      5896       Y             0.292347
      5896       Z             0.289953
      7331       X             0.248003
      7331       Y             0.275717
      7331       Z             0.278111
      3100       X             0.245522
      3100       Y             0.245522
      3100       Z             0.245522
      1494       X             0.275833
      1494       Y             0.275833
      1494       Z             0.275833
      1496       X             0.275833
      1496       Y             0.275833
      1496       Z             0.275833
      2112       X             0.401851
      2112       Y             0.401851
      2112       Z             0.401851
      2130       X             0.401851
      2130       Y             0.401851
      2130       Z             0.401851
      2140       X             0.401851
      2140       Y             0.401851
      2140       Z             0.401851
      2150       X             0.401851
      2150       Y             0.401851
      2150       Z             0.401851
      2160       X             0.401851
      2160       Y             0.401851
      2160       Z             0.401851
      4791       X             0.322206
      4791       Y             0.322206
      4791       Z             0.322206
      4795       X             0.322207
      4795       Y             0.322207
      4795       Z             0.322207
      1498       X             0.275828
      1498       Y             0.275828
      1498       Z             0.275828
      1500       X             0.417010
      1500       Y             0.417010
      1500       Z             0.417010
      3779       X             0.558062
      3779       Y             0.558062
      3779       Z             0.558062
      8794       Y             0.651198
      3775       X             0.279794
      3775       Y             0.279794
      3775       Z             0.279794
      8793       Y             0.467392
      3771       X             0.278468
      3771       Y             0.278468
      3771       Z             0.278468
      8879       Y             0.401748
      3767       X             0.278468
      3767       Y             0.278468
      3767       Z             0.278468
      8924       Y             0.378115
      3763       X             0.278468
      3763       Y             0.278468
      3763       Z             0.278468
      8923       Y             0.837630
      3757       X             0.278468
      3757       Y             0.278468
      3757       Z             0.278468
      3750       X             0.558062
      3750       Y             0.558062
      3750       Z             0.558062
      8946       Y             0.635444
      3756       X             0.700392
      3756       Y             0.700392
      3756       Z             0.700392
      3745       X             0.279794
      3745       Y             0.279794
      3745       Z             0.279794
      8960       Y             0.635444
      4617       X             0.451728
      4617       Y             0.451728
      4617       Z             0.451728
      3803       X             0.278468
      3803       Y             0.278468
      3803       Z             0.278468
      3740       X             0.278468
      3740       Y             0.278468
      3740       Z             0.278468
      4614       X             0.408585
      4614       Y             0.408585
      4614       Z             0.408585
      3799       X             0.278468
      3799       Y             0.278468
      3799       Z             0.278468
      3739       X             0.280405
      3739       Y             0.280405
      3739       Z             0.280405
      3738       X             0.278468
      3738       Y             0.278468
      3738       Z             0.278468
      3737       X             0.278468
      3737       Y             0.278468
      3737       Z             0.278468
      3735       X             0.278468
      3735       Y             0.278468
      3735       Z             0.278468
      3850       X             0.262569
      3850       Y             0.262569
      3850       Z             0.262569
      3849       X             0.242794
      3849       Y             0.242794
      3849       Z             0.242794
      3830       X             0.401802
      3830       Y             0.401802
      3830       Z             0.401802
      8959       Y             0.837630
      4659       X             0.365442
      4659       Y             0.365442
      4659       Z             0.365442
      3795       X             0.278468
      3795       Y             0.278468
      3795       Z             0.278468
      3829       X             0.278468
      3829       Y             0.278468
      3829       Z             0.278468
      3836       X             0.558062
      3836       Y             0.558062
      3836       Z             0.558062
      8970       Y             0.210063
      4620       X             0.451728
      4620       Y             0.451728
      4620       Z             0.451728
       986       X             0.320588
       986       Y             0.320588
       986       Z             0.320588
       982       X             0.266255
       982       Y             0.266255
       982       Z             0.266255
       455       X             0.278468
       455       Y             0.278468
       455       Z             0.278468
       978       X             0.266255
       978       Y             0.266255
       978       Z             0.266255
      7315       X             0.248003
      7315       Y             0.275717
      7315       Z             0.278111
      3627       X             0.221835
      3627       Y             0.221835
      3627       Z             0.221835
       461       X             0.278468
       461       Y             0.278468
       461       Z             0.278468
      7327       X             0.248003
      7327       Y             0.275717
      7327       Z             0.278111
      3722       X             0.700736
      3722       Y             0.700736
      3722       Z             0.700736
      3791       X             0.278468
      3791       Y             0.278468
      3791       Z             0.278468
      3843       X             0.694486
      3843       Y             0.694486
      3843       Z             0.694486
      4613       X             0.408585
      4613       Y             0.408585
      4613       Z             0.408585
       479       X             0.561158
       479       Y             0.561158
       479       Z             0.561158
       454       X             0.278468
       454       Y             0.278468
       454       Z             0.278468
      7311       X             0.248003
      7311       Y             0.275717
      7311       Z             0.278111
       462       X             0.278468
       462       Y             0.278468
       462       Z             0.278468
      3828       X             0.278468
      3828       Y             0.278468
      3828       Z             0.278468
      3831       X             0.279794
      3831       Y             0.279794
      3831       Z             0.279794
      4657       X             0.365443
      4657       Y             0.365443
      4657       Z             0.365443
      3723       X             0.278468
      3723       Y             0.278468
      3723       Z             0.278468
      3785       X             0.278468
      3785       Y             0.278468
      3785       Z             0.278468
      3734       X             0.280405
      3734       Y             0.280405
      3734       Z             0.280405
      3733       X             0.278468
      3733       Y             0.278468
      3733       Z             0.278468
      4611       X             0.408583
      4611       Y             0.408583
      4611       Z             0.408583
      3732       X             0.278468
      3732       Y             0.278468
      3732       Z             0.278468
       465       X             0.278468
       465       Y             0.278468
       465       Z             0.278468
      5906       X             0.320060
      5906       Y             0.292346
      5906       Z             0.289952
      7307       X             0.248003
      7307       Y             0.275717
      7307       Z             0.278111
       453       X             0.278467
       453       Y             0.278467
       453       Z             0.278467
       463       X             0.278468
       463       Y             0.278468
       463       Z             0.278468
      7317       X             0.248003
      7317       Y             0.248003
      7317       Z             0.248003
      7322       X             0.248003
      7322       Y             0.248003
      7322       Z             0.248003
      3970       X             0.495205
      3970       Y             0.495205
      3970       Z             0.495205
      3969       X             0.130791
      3969       Y             0.130791
      3969       Z             0.130791
      3982       X             0.312017
      3982       Y             0.312017
      3982       Z             0.312017
      3983       X             0.255021
      3983       Y             0.255021
      3983       Z             0.255021
      3984       X             0.385330
      3984       Y             0.385330
      3984       Z             0.385330
      4696       X             0.539030
      4696       Y             0.539030
      4696       Z             0.539030
      3966       X             0.647250
      3966       Y             0.647250
      3966       Z             0.647250
       395       X             0.865720
       395       Y             0.865720
       395       Z             0.865720
      3841       X             0.734672
      3841       Y             0.734672
      3841       Z             0.734672
       443       X             0.552768
       443       Y             0.552768
       443       Z             0.552768
       442       X             0.278468
       442       Y             0.278468
       442       Z             0.278468
       444       X             0.278468
       444       Y             0.278468
       444       Z             0.278468
       975       X             0.266255
       975       Y             0.266255
       975       Z             0.266255
       441       X             0.278468
       441       Y             0.278468
